,Euclidean_distance,DTW_distance,kmeans_clusters,hierarchical_clusters
Track_15,613.5072797444526,885.389021114385,1,0
Track_1901,127.2489258074594,147.68026319473856,0,0
Track_1699,131.94967094339475,137.34726788188118,0,0
Track_47,632.0197457582241,422.25687675292903,1,0
Track_1997,293.96714570908347,244.0307452426741,0,0
Track_291,146.09461672702741,167.46136572661928,0,0
Track_1290,547.851645371885,634.2512585140676,0,0
Track_57,75.40817404820856,55.034798345893165,0,0
Track_752,729.7563393681456,559.7810633367872,1,1
Track_2169,301.1131309508131,344.3266738771879,0,0
Track_865,112.41781414109741,108.74196659636733,0,0
Track_666,98.78730977705862,84.97092056482498,0,0
Track_992,149.88493786529796,156.44127243264316,0,0
Track_326,198.0788445371561,171.19308311105942,0,0
Track_961,284.35155373460503,175.69709363383126,0,0
Track_3184,151.26774287872107,151.82715492808975,0,0
Track_1177,216.08382904832263,191.04364832698508,0,0
Track_2730,171.43890538987242,93.39538040537369,1,1
Track_2611,389.60042873582313,366.28820855389324,0,0
Track_780,46.5672912653422,48.405481554347354,0,0
Track_1157,62.53379618824975,82.10060985965909,0,0
Track_12,255.8803647901146,222.4401448882386,0,0
Track_45,200.60549835984258,253.87512863698788,0,0
Track_118,146.12580415162455,147.85718338813072,0,0
Track_3477,103.99335398574574,65.85864072251086,0,0
Track_8,128.03451808021856,134.74051090993927,0,0
Track_3339,64.1297553932647,63.41999518957685,1,0
Track_412,289.7050325520493,216.26211562313458,1,1
Track_20,184.01225769843418,202.1359919592703,0,0
Track_1532,394.1705237287999,219.3844506571792,0,0
Track_117,841.9995121279742,878.5566569831484,0,0
Track_2005,121.02441054914682,129.86315317073536,0,0
Track_1003,283.2009127234663,316.6044459155148,0,0
Track_90,241.9592978687088,261.5517709962871,0,0
Track_128,983.7930195603004,1204.095867836685,0,0
Track_2117,696.65037765578,308.43900252068124,1,0
Track_1521,296.95047590287675,283.05243419513744,0,0
Track_2235,258.46890129708356,263.74567162615807,0,0
