name,MEAN_STRAIGHT_LINE_SPEED,Clusters
Track_913,0.4917314792066326,1
Track_930,0.2264341544707344,1
Track_1022,0.862841845782002,1
Track_1056,0.8345288887865744,1
Track_1057,-0.6038189781480594,1
Track_1089,0.44051828518389846,1
Track_1147,-0.00988164337224395,1
Track_1161,-0.6903959497059728,1
Track_1171,0.17592070545707206,1
Track_1184,0.46970096224769237,1
Track_1201,-0.6035292244999405,1
Track_1242,-0.7792230568997538,1
Track_1276,-0.5502733436500716,1
Track_1286,-0.6628942571591887,1
Track_1313,0.049536149727207233,1
Track_1321,-1.0623667555791507,1
Track_1367,-0.2716425847151216,1
Track_1368,-0.06446166753391266,1
Track_1400,0.004281485385100361,1
Track_1440,0.11718020759988496,1
Track_1450,-0.6661653483917676,1
Track_1472,0.9467018812434213,1
Track_1476,-0.2819999621821306,1
Track_1512,0.0466308643231284,1
Track_1522,-0.42337561077865676,1
Track_1592,-0.9247472987214943,1
Track_1606,-0.05494476082548188,1
Track_1640,0.512783026349996,1
Track_1659,-0.1538553267183955,1
Track_1694,0.4587736771918205,1
Track_1695,-0.05322582185645111,1
Track_1702,-0.1937617881683823,1
Track_1774,0.06335304173521623,1
Track_1811,-0.23822779453913576,1
Track_1812,-0.3195859829732728,1
Track_1835,-0.7890508386821572,1
Track_1905,-0.8108958454928312,1
Track_1935,-0.4061010666308717,1
Track_1943,-0.7539913167599418,1
Track_1947,0.6300700188816926,1
Track_1954,-0.5294054797584429,1
Track_1957,-0.0071332946602362685,1
Track_1963,-0.01879619911898382,1
Track_2003,-0.2021951218473074,1
Track_2020,-0.09137350405726913,1
Track_2049,-1.1138914810852971,1
Track_2090,0.38313197754740913,1
Track_2099,-0.7815416138352187,1
Track_2104,-0.804168206242859,1
Track_2117,-0.3187590679364296,1
Track_2120,0.10224685521559308,1
Track_2123,0.5147878992210002,1
Track_2139,-0.3290916461874513,1
Track_2235,-0.5414485872809292,1
Track_2243,-0.10016100246536026,1
