,Label,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TOTAL_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
94,Track_2266,0.3835963782639042,-0.221187316468483,0.7396058313945943,0.5081459784089231,0.3344378245074456,-0.4170244139071008,0.07917043791485473,0.25642430596326626,0.0791704379148559,-0.49684814941622224
95,Track_2279,-0.2081574875539644,-0.24994913476321087,0.03640276490284764,-0.2034076756181857,-0.330352996028921,1.1112327927113848,0.4401266470062821,0.37498540956465054,0.44012664700628146,-0.13424654736461683
96,Track_2280,1.6880722778256456,0.43828879727287007,1.2276636042935447,1.7081315939637876,1.778845846743812,0.22997890402452267,1.3909045592414435,2.72257408712618,1.3909045592414429,-1.4293920071903967
97,Track_2289,-0.18838586470577207,-0.4489281242788685,-0.804643761351361,-0.14130140614333841,0.1792496494656638,1.1208574748359492,1.367776008922044,1.2679175983652116,1.3677760089220434,-1.0412939644906671
98,Track_2299,-1.3304928294434768,0.584486990812613,-0.8046437613605293,-2.058189695947479,-0.04449946547959504,0.12692433419961252,-0.8512938139736708,-0.9626323533976129,-0.8512938139736714,-0.6755163607732714
99,Track_2302,0.7453058467837529,0.332831866498818,0.25336270657818355,0.6606098777054877,1.276140537922644,1.5696771781136944,0.945884115424305,1.4565763686383209,0.9458841154243043,-0.9356780545328728
100,Track_2304,0.8638184532755089,0.7106674128359554,0.9103842141760351,0.45338150308374264,2.4131826042862117,-0.6378359391667573,-0.04472695786020114,0.2810486559858361,-0.044726957860203476,0.17218552363825437
101,Track_2356,-0.6823448728640038,0.25885109805101547,-0.33803297097109,-1.0832869882123177,-0.24574950344974694,0.661140251294457,0.33650097834500126,0.062205631590566836,0.33650097834499887,-0.30371627063683365
102,Track_2361,-0.3610503534187948,0.6303444843738069,-0.2221633660306748,-0.7238221736165975,0.19216423790702858,0.9284883960771152,0.21318059855112334,0.09652150589474312,0.21318059855112265,1.0468697598159302
103,Track_2378,0.47438118013769487,-0.10916221822384507,1.298876111631502,0.7443860424900924,0.5088856650467836,-0.04149125203504717,2.018988697039611,2.5167182434242337,2.0189886970396107,-1.4533068930461983
104,Track_2410,-0.8228321641685405,0.7747357920031325,-0.7479652859744713,-1.5378270657225,0.23034122235306878,0.5108059840235811,-0.4150788543983161,-0.5766076694438049,-0.41507885439831677,0.06873012992603568
105,Track_2414,0.4031703270314875,0.8556029645097126,0.6035253990855888,-0.12678590486328908,1.236214758222229,-0.4997800071205353,-0.8118509118155537,-0.7400076370596868,-0.8118509118155545,-0.6016990054901292
106,Track_2489,0.7441536171760366,0.16510634365408636,1.2443639383378864,0.8537192576591575,0.2723071340155081,0.3440235952652394,0.863211907314954,1.354404042334889,0.8632119073149533,-0.41063954793881435
