,Euclidean_distance,DTW_distance,kmeans_clusters,hierarchical_clusters
Track_3782,372.2830821924851,409.80015255562563,0,0
Track_3888,302.61803412712294,424.7403706920028,0,0
Track_2489,722.4150063268479,630.6215752145956,0,0
Track_3962,41.8342834117174,54.53238044301263,0,0
Track_3421,70.00977634305333,71.21792009347706,0,0
Track_1052,432.930187492187,479.52563337899215,0,0
Track_1685,226.16941221446973,247.68249878651585,0,0
Track_2156,836.185124623318,747.6301324681215,0,0
Track_157,261.8827787887932,167.32229672525656,0,0
Track_2632,299.2595906164744,235.87909651554304,0,0
Track_3904,534.4241826992552,692.7295717548391,0,0
Track_825,201.27645826692796,173.82770808297005,0,0
Track_1483,1402.6916252437259,1512.2229823774896,0,0
Track_193,268.6022498519931,128.7027671033891,0,0
Track_3754,644.8502872889728,647.9150180454806,0,0
Track_2127,592.3593575187873,501.359181967317,0,0
Track_2503,915.5807648131658,934.0850313960149,0,0
Track_2963,367.2920478075467,494.5659810932866,0,0
Track_2821,106.27096019635087,102.72043956801612,0,0
Track_580,249.4877527638732,272.90780889893995,0,0
Track_49,1499.146192076563,1428.910509406923,0,0
Track_951,170.8408333400477,97.32158573837576,0,0
Track_1546,451.18824192481765,400.317878177805,0,0
Track_1921,685.598001104426,642.022012597962,0,0
Track_2855,102.11243618977954,107.23395368615463,0,0
Track_639,1289.2164060725688,1672.7778450454844,0,0
Track_3783,91.41888113718004,97.1745367078829,0,0
Track_3257,172.68830488700198,170.11087560497185,0,0
Track_75,456.83070017009504,505.52976178486705,0,0
Track_1515,570.2707938887543,566.9144810768801,0,0
Track_146,354.8893839718662,349.8419034596667,0,0
Track_140,72.14051572869678,64.77711435668364,0,0
Track_2239,624.2817760598867,568.9266927949185,0,0
Track_1617,312.51629648114795,374.050776310497,0,0
Track_1183,827.9400881232604,1242.1172842735682,0,0
Track_1745,380.5342296924765,559.7645677074569,0,0
Track_395,119.10452000980744,154.95548733376816,0,0
Track_1947,67.81988020427227,51.38866811982077,0,0
Track_3545,363.7991947911004,421.6049425245256,0,0
Track_3261,461.1947584724937,410.1025938057601,0,0
Track_92,270.9173476596344,240.31398605069035,0,0
Track_4248,56.047616988178746,60.38713561224684,0,0
Track_104,114.54280732288672,120.81449520685258,0,0
Track_2356,1283.211168684256,1866.3246243012024,0,0
Track_4420,284.383955005765,306.95728382931543,0,0
Track_11,1422.8528228645241,718.4646180366968,0,0
Track_2735,777.7342511645486,659.1472809607674,0,0
Track_362,242.75923062648727,257.568206423991,0,0
Track_4689,54.2311052683001,58.338742653571124,0,0
Track_117,337.5891443812534,332.19538180408233,0,0
Track_3639,305.63571444589974,110.36609348058629,0,0
Track_2655,50.929766948530144,60.446473734845675,0,0
Track_3374,191.82474972421957,136.65187724111644,0,0
Track_105,899.4835658635515,725.2746679101318,0,0
Track_93,388.91414521151336,402.39923094096787,0,0
Track_3802,134.3393853090651,162.25614555270897,0,0
Track_4176,102.91514526222855,80.84127551642214,0,0
Track_1496,747.035449902214,353.5061671289341,0,0
Track_1690,57.64849322384553,67.28467408214927,0,0
Track_3451,124.55506696610233,153.30676070998751,0,0
Track_2304,47.30562827523505,52.52684074597162,0,0
Track_3627,276.10900994134875,128.22264766462644,0,0
Track_4337,165.38194744598746,194.25517197895454,0,0
Track_1548,148.38173611746518,102.42497308595988,0,0
Track_130,537.690881083892,504.10033415432446,0,0
Track_3547,154.36544255814638,126.69080509863183,0,0
Track_4302,123.50092600095219,173.52899230972707,0,0
Track_4272,58.470638180320194,62.276999553608405,0,0
Track_3679,342.776325482082,270.81391791435993,0,0
Track_5140,36.526624219148026,41.51117942879533,0,0
Track_2561,383.3279892947581,569.135315740561,0,0
Track_3341,225.6743690277783,260.723017415118,0,0
Track_1606,387.7671948529234,399.4694321079277,0,0
Track_4862,131.6985507289802,69.70338484271171,0,0
Track_4493,89.86538736795687,67.14510521230453,0,0
Track_1906,1478.1596852062398,1501.8485867847128,0,0
Track_1038,182.828968091126,133.27292071339846,0,0
Track_163,588.8921137302099,481.55616667141436,0,0
Track_1818,594.7045382623689,708.3429162726334,0,0
Track_2006,249.66505617484472,164.7547933783598,0,0
Track_2903,304.8462678328117,253.83307892136173,0,0
Track_42,254.0173373804441,254.70512975572677,0,0
Track_3963,263.31095266654177,143.29702493383735,0,0
Track_2257,349.6254468154141,160.6235014418632,0,0
Track_2106,148.8260290669076,193.9376783856984,0,0
Track_3845,479.75296765435013,500.6096000108805,0,0
Track_470,822.1050186059942,596.1217241314796,0,0
Track_57,1104.8824635479389,1221.5047637728765,0,0
Track_2266,117.74165483229699,105.88561547878712,0,0
Track_2835,265.03303260511586,252.48437486302976,0,0
Track_3441,296.9995404996037,471.5968636951282,0,0
Track_3865,66.1458660879627,46.21945413937869,0,0
Track_2554,1501.1534998458844,2101.271015371449,0,0
Track_2819,195.98804821651478,235.83067584970496,0,0
Track_4342,200.45601576325677,146.42260322874336,0,0
Track_4309,74.84019442617925,83.60071937642356,0,0
Track_2750,128.4236501813336,113.45450930407148,0,0
Track_4196,144.77163489068565,80.68827897727617,0,0
Track_1838,519.4221397197252,670.4073079911041,1,1
Track_1197,768.3195665223485,208.8938235311215,0,0
Track_160,148.5152645637075,158.01349763134363,0,0
Track_2628,264.3038069870031,259.3068263475942,0,0
Track_1023,937.8180790166306,780.2261067811844,0,0
Track_2378,1084.6238430859805,511.59236716647774,0,0
Track_1472,204.97656361236577,215.61281178275846,0,0
