,TRACK_ID,PEARSON_COEF,P_VALUE,PATH_LINEARITY
1056,1056,-0.4577613414795788,4.918500098652153e-08,Low positive non-linear
1057,1057,0.29590345824477204,1.0398629124863725e-09,Negligible corelation
1147,1147,-0.8380312249048433,1.0358631498117122e-81,High positive non-linear
1161,1161,0.7844322646455965,5.783433140448348e-84,High positive linear
1171,1171,0.6818317429198684,4.1865362384821623e-29,Moderate positive linear
1201,1201,0.4024867094500306,8.933488739811226e-17,Low positive linear
1242,1242,-0.4139491238730373,2.423223205634254e-15,Low positive non-linear
1276,1276,-0.5756237737897634,2.429560095526111e-27,Moderate positive non-linear
1286,1286,0.3029570252965703,1.5749285060029444e-09,Low positive linear
1313,1313,-0.4496965789181706,1.5041886307566705e-13,Low positive non-linear
1321,1321,-0.17409541668259093,0.0006975940431068158,Negligible corelation
1367,1367,0.6869258364738868,2.6152399426633146e-39,Moderate positive linear
1368,1368,-0.2665931766128441,2.013524866670719e-07,Negligible corelation
1440,1440,0.395037228270788,1.2476493000739764e-05,Low positive linear
1450,1450,-0.13126686192739123,0.012800999926352762,Negligible corelation
1472,1472,0.26853167869078637,0.0069056181370124245,Negligible corelation
1476,1476,-0.11515148676560807,0.1457891868332405,Negligible corelation
1512,1512,0.8322794760988264,1.9577090952435584e-91,High positive linear
1522,1522,0.07426294328091824,0.1656622635956935,Negligible corelation
1592,1592,-0.5199481400054026,8.728711528036967e-19,Moderate positive non-linear
1606,1606,-0.4347000188446126,5.171772259222428e-17,Low positive non-linear
1640,1640,-0.19616398404209318,0.014116847325264272,Negligible corelation
1659,1659,-0.5901034030231851,1.0929497949190142e-14,Moderate positive non-linear
1694,1694,0.7599928927949606,3.169873774671063e-40,High positive linear
1695,1695,0.8307758575951194,1.1919698292691618e-35,High positive linear
1702,1702,-0.4691360023628689,5.9188721055912246e-12,Low positive non-linear
1774,1774,0.6645726436342188,2.407679668136574e-26,Moderate positive linear
1811,1811,-0.8308287333475288,7.205326922592261e-80,High positive non-linear
1812,1812,0.22846284189930305,0.016875222765014835,Negligible corelation
1835,1835,-0.6195181518198575,2.1215278475940963e-33,Moderate positive non-linear
1905,1905,-0.8408987792238888,4.835041049617817e-79,High positive non-linear
1935,1935,-0.4362628502942628,6.38616623748615e-08,Low positive non-linear
1943,1943,0.4003883442852987,2.12965976565649e-12,Low positive linear
1947,1947,0.9076598401142913,1.4851794413732173e-45,Linear
1954,1954,-0.0715777185375811,0.2291806648855478,Negligible corelation
1957,1957,-0.49587463017189404,1.0973991619079466e-11,Low positive non-linear
1963,1963,-0.2515256022865857,1.9871470479092297e-05,Negligible corelation
2003,2003,-0.6621332595890357,3.3812388743583656e-36,Moderate positive non-linear
2020,2020,0.3745047979920956,4.873252458538916e-07,Low positive linear
2049,2049,-0.6667355311019016,1.4460815071582336e-18,Moderate positive non-linear
2099,2099,0.12223014306764131,0.0786105328465267,Negligible corelation
2104,2104,-0.41590632496670277,1.4788606873620563e-09,Low positive non-linear
2117,2117,-0.5384254438631124,6.034570103273429e-21,Moderate positive non-linear
2120,2120,-0.2869715041302707,2.664019531240839e-06,Negligible corelation
2123,2123,0.5783533361328136,1.2800560224425652e-10,Moderate positive linear
2139,2139,0.37391507485673725,9.521452740989098e-07,Low positive linear
2235,2235,-0.09393092862698066,0.2821873315100886,Negligible corelation
2243,2243,0.4621749120966642,3.716260964605798e-14,Low positive linear
2255,2255,-0.40201880998063566,2.2203699515297117e-08,Low positive non-linear
2288,2288,-0.4110199401962835,5.938569838824229e-11,Low positive non-linear
2310,2310,-0.35977355823129237,7.087676497769193e-06,Low positive non-linear
2313,2313,0.8753760349478521,6.462185036761425e-74,High positive linear
2320,2320,0.6205775072592963,2.912125533285886e-19,Moderate positive linear
2337,2337,0.5562260582956374,6.434234338926932e-20,Moderate positive linear
2338,2338,0.25597237654768,9.260952089787531e-05,Negligible corelation
2340,2340,0.1898175151445876,0.026307740151593,Negligible corelation
2341,2341,0.46733921697721503,4.2487143861876146e-11,Low positive linear
2355,2355,-0.6059781069804137,7.627723499312002e-24,Moderate positive non-linear
2418,2418,-0.5174077909134251,4.0433817105417816e-16,Moderate positive non-linear
2420,2420,0.21741104157967578,0.006069241328223234,Negligible corelation
2477,2477,-0.25259671268984707,0.00024931407836913973,Negligible corelation
