LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(sec),(sec),(sec),(µm),(µm),(µm),(µm),(µm/sec),(µm/sec),(µm/sec),(µm/sec),(µm/sec),(quality),(µm),(µm),,(µm/sec),,(rad/sec)
Track_14,14,14,253,0,0,0,0,0,252.0,0.0,252.0,3.1853590196455013,90.84499845931659,101.5729665710321,0.0,0.309815656342559,1.4403273964652217,0.0115468947604633,0.28697444102150105,0.1991691162654295,0.811684421164245,78.07354539832485,3.955109880243097,0.04079946675143366,0.01264031357002183,0.04079946675143366,2.0151923904018365
Track_15,15,15,500,0,0,0,0,0,499.0,0.0,499.0,9.91177690874195,104.98266266214786,97.6411043689712,0.0,0.189756348496152,0.6063456196513591,0.004088348442366896,0.12563072163030606,0.1446673553658621,0.8557769907712937,94.68841789957985,10.259068684206708,0.10467781729391352,0.01986328037824038,0.10467781729391352,1.9924160804483984
Track_20,20,20,500,0,0,0,0,0,499.0,0.0,499.0,8.96513057499563,28.403041665002807,100.02996087617456,0.0,0.22241706837567782,0.926016945036538,0.002694875068018735,0.16539627380170965,0.17065207820798398,0.8659369195699692,110.98611711946324,9.107417908182981,0.08077704498253364,0.01796619353706539,0.08077704498253366,1.8302806527772366
Track_22,22,22,500,0,0,0,0,0,499.0,0.0,499.0,6.1282791285378195,64.04577174562988,69.98669268954632,0.0,0.20130581858147648,0.6041360741565487,0.0,0.1486532534370084,0.14734737980084045,0.8671552119255066,100.4516034721568,6.178221119848838,0.06100728028932318,0.012281120498071783,0.06100728028932321,1.9702652016597877
Track_24,24,24,500,0,0,0,0,0,499.0,0.0,499.0,6.042865198881945,59.17289048746103,97.90610180538096,0.0,0.24754110018583098,1.4107867419218885,0.004444966925073016,0.209822441482998,0.18630608096169965,0.8576958523988724,123.52300899272973,7.3326661781942155,0.048920968232223146,0.01210995029836061,0.048920968232223166,1.894207466331133
Track_26,26,26,237,0,0,0,0,0,236.0,0.0,236.0,6.609287091418548,153.35662167262916,125.34518980164552,0.0,0.23999616204154256,0.7245084682976256,0.008480674021064134,0.20881270102160512,0.16183169273904377,0.8681161856349511,56.639094241804045,6.7041361597802345,0.11669125680580503,0.02800545377719724,0.11669125680580503,1.9899506168473855
Track_29,29,29,159,0,0,0,0,0,158.0,0.0,158.0,1.8875559234479242,140.07312018294473,99.58826829414154,0.0,0.2604975410552361,0.8329375121329072,0.016169406165218527,0.22489490951609237,0.18515313892277827,0.8492701214814337,41.1586114867273,3.4186823843555803,0.04586053453374192,0.011946556477518508,0.04586053453374192,1.8517114339101446
Track_31,31,31,164,0,0,0,0,0,163.0,0.0,163.0,3.8791410379444806,51.112523926835124,78.73981241906206,0.0,0.27479801919147373,1.3644032167743223,0.002996127555413594,0.22235401637323665,0.2218027291021396,0.8293120108726548,44.792077128210195,4.223627927992123,0.08660328537212188,0.02379841127573301,0.08660328537212184,1.9270524211730575
Track_33,33,33,142,0,0,0,0,0,141.0,0.0,141.0,0.6106153116763596,33.62137567531238,70.28444377606662,0.0,0.5168709726941476,1.445181642125159,0.015653301046041637,0.4495452212920136,0.29909521725987764,0.8291276533838728,72.87880714987476,5.432492114505622,0.008378503100642597,0.004330605047350069,0.008378503100642592,1.8092393753196798
Track_35,35,35,491,0,0,0,0,0,490.0,0.0,490.0,6.742677838737116,41.64202861970092,100.94614227566063,0.0,0.26784360289660675,1.1771175636139812,0.015310869395115891,0.2479324193331879,0.17570643395995877,0.8217762284997524,131.24336541933735,6.858729508693492,0.0513753805169008,0.01376056701783085,0.05137538051690082,1.9753678123666762
Track_41,41,41,233,0,0,0,0,0,232.0,0.0,232.0,3.352789161866803,149.21727978561742,119.17289195141348,0.0,0.28608429404068597,0.9661723988008138,0.01756524868685211,0.2465669233569733,0.18685956801723488,0.7974118406168893,66.37155621743919,3.8338307476036433,0.050515451993965066,0.014451677421839669,0.0505154519939651,1.8945749249089132
Track_43,43,43,265,0,0,0,0,0,264.0,0.0,264.0,2.7561626600497386,50.80632565499427,136.78269990963722,0.0,0.20566099353298095,0.6156499747604767,0.0,0.17176003853681182,0.1272352198445533,0.8174480258293871,54.29450229270702,2.8215914727712286,0.05076319965492995,0.01044001007594598,0.05076319965493,2.0073115008906757
Track_44,44,44,110,0,0,0,0,0,109.0,0.0,109.0,6.070968135664911,148.96010263434428,74.8681529813519,0.0,0.33541339224699834,1.2330950783070784,0.023270232671902563,0.2765740575095375,0.23473552462173325,0.7991255402565003,36.56005975492281,6.67590325955759,0.16605465571886696,0.05569695537307258,0.16605465571886693,1.8637017887370813
Track_48,48,48,201,0,0,0,0,0,200.0,0.0,200.0,11.13036463980002,115.47658337779548,121.7601723862482,0.0,0.26709108397028825,0.9458151496999881,0.007038253038952963,0.25495804542775063,0.19390263747261496,0.8394222905979821,53.41821679405767,11.877932953962768,0.20836271421621433,0.0556518231990001,0.2083627142162144,1.8626131324650312
Track_49,49,49,500,0,0,0,0,0,499.0,0.0,499.0,3.3385709356724385,124.34402196273484,120.91632140913981,0.0,0.20819758091975504,0.7240853008478914,0.00734807209030816,0.15014830660482292,0.1614371283904832,0.8676761109828949,103.8905928789577,3.8205836666335977,0.03213544983386693,0.006690522917179235,0.03213544983386691,1.9351381309702136
Track_56,56,56,193,0,0,0,0,0,192.0,0.0,192.0,4.350132090476177,143.67753252685867,66.1246093289205,0.0,0.3235703039765279,1.247762354644218,0.009584946793377994,0.2759805424746701,0.22238745390873718,0.8538595224909215,62.125498363493314,5.35419220142635,0.07002168521890581,0.022656937971230088,0.07002168521890575,2.026208403285118
Track_64,64,64,272,0,0,0,0,0,271.0,2.0,273.0,4.704884405047247,100.63497019938988,58.82395421927897,0.0,0.27036739276584415,0.876117651801231,0.005081052074463181,0.24816678638951042,0.1650393792515296,0.8261873106307843,73.26956343954367,5.402451637908301,0.0642133538700466,0.01736119706659501,0.06421335387004654,1.9970609082457849
Track_67,67,67,140,0,0,0,0,0,139.0,0.0,139.0,2.899739327404387,150.91440686104627,68.48425690092729,0.0,0.2602004830516894,0.7170498213120269,0.007712715764551518,0.25017595965371947,0.15000265710011235,0.8132497216973986,36.16786714418483,3.012479481961904,0.08017446303494882,0.020861434010103503,0.08017446303494884,1.9496822591472183
Track_73,73,73,500,0,0,0,0,0,499.0,0.0,499.0,6.517064840451331,82.11152613085397,103.02472429510378,0.0,0.24664831524302483,1.2747327349282307,0.004473200122023858,0.21952515264077746,0.16699779958809824,0.8459746098518371,123.0775093062693,6.761761784047366,0.05295089961752554,0.013060250181265193,0.0529508996175255,1.9144026024976082
Track_76,76,76,202,0,0,0,0,0,201.0,0.0,201.0,2.8894395271897864,96.98503838901432,79.25180064229029,0.0,0.25677144165319277,0.8569535569865304,0.011273697525888542,0.25151607458728414,0.15360877563433534,0.8193484317548204,51.61105977229173,2.8894395271897864,0.055984890446699,0.014375321030794957,0.05598489044669898,1.9241458892272327
Track_77,77,77,445,0,0,0,0,0,444.0,0.0,444.0,2.114857413003146,52.41366509019941,90.17646475528095,0.0,0.22032385732879195,1.1419767693768714,0.007940485805400356,0.16563414419807534,0.17636383717351964,0.8442811846733094,97.8237926539835,3.1122828795451327,0.02161904947279742,0.004763192371628707,0.021619049472797393,1.9356866270983852
Track_78,78,78,500,0,0,0,0,0,499.0,0.0,499.0,13.281479830342924,149.14975913298838,126.4193107343669,0.0,0.22469737347556334,0.8748065590445536,0.0020422997136604858,0.18220692307514164,0.16105230793637956,0.847456523180008,112.12398936430615,13.281479830342924,0.11845350763599377,0.0266161920447754,0.11845350763599383,1.842583976602796
Track_81,81,81,271,0,0,0,0,0,270.0,0.0,270.0,2.9699194659951353,69.87278720122376,129.94964699528268,0.0,0.2548896102906363,0.8875795927198443,0.005785398179805566,0.22769597296047564,0.16254207573820031,0.8427759870831817,68.82019477847183,3.645989870856448,0.04315476693367597,0.010999701725907909,0.04315476693367599,1.8680400063363447
